Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Es_SKU_Fantasma,Posible_Devolucion,Outlier_Entrega,Ciudad_Valida,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Bodega_Externa,Stock_Imputado,Outlier_Costo,Dias_Desde_Revision,Rating_Producto,Rating_Logistica,Satisfaccion_NPS,Ticket_Soporte_Abierto,Recomienda_Marca,Comentario_Texto,Feedback_Count,Tiene_Feedback,Ingreso_Transaccion,Margen_Unitario,Margen_Pct,Margen_Total_Transaccion,Brecha_Entrega,Ingreso_En_Riesgo
TRX-10000,PROD-3619,2025-04-25,-5,1752.48,52.36,999,Entregado,Bucaramanga,Físico,True,True,True,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,4.0,1.0,81.7,True,Sí,Dañado,1,True,-8762.4,,,,,-8762.4
TRX-10001,PROD-1456,2025-07-29,12,686.88,67.16,29,Entregado,Sin Ciudad (Venta Web),WhatsApp,False,False,False,False,Laptops,1935.0,245.14,115.0,10.0,Norte,2025-11-16,False,False,False,251.0,3.0,1.0,-45.6,True,No,Sin comentario,1,True,8242.56,441.74,0.6431108781737713,5300.88,19.0,0.0
TRX-10002,PROD-1102,2025-05-31,2,402.06,32.55,13,Perdido,Medellín,Físico,False,False,False,True,Tablets,1180.0,722.77,203.0,3.0,Norte,2025-05-16,False,False,False,435.0,,,,False,,,0,False,804.12,-320.71,-0.797667014873402,-641.42,10.0,0.0
TRX-10003,PROD-2126,2026-01-23,4,665.98,62.64,12,Perdido,Medellín,Online,False,False,False,True,Accesorios,856.0,1288.22,261.0,3.0,ZONA_FRANCA,2024-09-04,True,False,False,689.0,,,,False,,,0,False,2663.92,-622.24,-0.9343223520225833,-2488.96,9.0,0.0
TRX-10004,PROD-2003,2025-10-09,5,1222.62,52.91,15,Entregado,Bogotá,App,False,False,False,True,Laptops,1399.0,839.17,193.0,27.5,BOD-EXT-99,2025-09-02,True,False,False,326.0,,,,False,,,0,False,6113.099999999999,383.44999999999993,0.3136297459554072,1917.2499999999995,-12.5,0.0
TRX-10005,PROD-1914,2025-11-05,2,740.61,25.63,29,Retrasado,Medellín,Online,False,False,False,True,Accesorios,1544.0,440.28,178.0,10.0,BOD-EXT-99,2024-03-17,True,False,False,860.0,,,,False,,,0,False,1481.22,300.33000000000004,0.4055170737635193,600.6600000000001,19.0,0.0
TRX-10006,PROD-1571,2025-06-20,12,1349.06,30.32,23,Sin Información,Bogotá,Físico,False,False,False,True,Smartphones,1618.0,1496.74,292.0,10.0,Norte,2025-07-30,False,False,False,360.0,,,,False,,,0,False,16188.72,-147.68000000000006,-0.10946881532326218,-1772.1600000000008,13.0,0.0
TRX-10007,PROD-1419,2025-11-18,8,481.5,21.21,13,Perdido,Cali,App,False,False,False,True,Laptops,430.0,479.1,207.0,10.0,BOD-EXT-99,2024-05-06,True,False,False,810.0,,,,False,,,0,False,3852.0,2.3999999999999773,0.0049844236760124136,19.199999999999818,3.0,0.0
TRX-10008,PROD-3771,2025-11-03,1,1404.98,10.38,6,Sin Información,Medellín,App,True,False,False,True,Sin Catálogo,,,,,Sin Catálogo,,,,,,2.0,2.0,31.150000000000002,False,No,Sin comentario,2,True,1404.98,,,,,1404.98
TRX-10009,PROD-3233,2025-03-21,3,701.4,63.82,26,Sin Información,Medellín,Físico,False,False,False,True,Smartphones,1514.0,463.84,245.0,27.5,Norte,2024-05-13,False,False,False,803.0,,,,False,,,0,False,2104.2,237.56,0.3386940404904477,712.6800000000001,-1.5,0.0
TRX-10010,PROD-1356,2025-04-04,7,917.18,68.91,14,Entregado,Bogotá,App,False,False,False,True,Tablets,1776.0,469.69,215.0,0.0,Norte,2025-06-30,False,False,False,390.0,5.0,1.0,-80.1,False,Tal vez,No volvería,1,True,6420.259999999999,447.48999999999995,0.4878976863865326,3132.43,14.0,0.0
